suite,N,W,H,mode,p,run,mean_sim_ms,mean_shade_ms,mean_FPS
A,50,1024,768,seq,1,1,86.49222424242424,66.49878585858586,7.627740000000001
A,50,1024,768,seq,1,2,86.54126224489796,67.39375918367347,7.524366153846154
A,50,1024,768,seq,1,3,86.53264343434344,66.60348585858586,7.57765923076923
A,50,1024,768,seq,1,4,86.93137448979591,66.34639489795917,7.531955384615385
A,50,1024,768,seq,1,5,88.19759278350514,67.53257835051546,7.345106153846154
A,50,1024,768,seq,1,6,91.27796129032258,70.3818494623656,7.159654615384615
A,50,1024,768,seq,1,7,90.78760106382978,69.31519787234042,7.263840769230769
A,50,1024,768,seq,1,8,90.92016382978723,69.72652872340426,7.219430000000001
A,50,1024,768,seq,1,9,91.12810319148936,69.6568329787234,7.06644076923077
A,50,1024,768,seq,1,10,92.01424946236558,70.23564838709677,7.171578461538461
A,100,1024,768,seq,1,1,175.22439032258066,72.53171612903226,4.931446153846154
A,100,1024,768,seq,1,2,176.12140327868852,72.24944426229507,4.9701984615384625
A,100,1024,768,seq,1,3,173.1828111111111,70.75548253968255,5.015833076923077
A,100,1024,768,seq,1,4,183.55406551724138,77.18595517241378,4.805571538461539
A,100,1024,768,seq,1,5,174.36839354838708,71.18992741935483,5.027013076923077
A,100,1024,768,seq,1,6,174.12061451612902,71.34380806451613,4.994331538461538
A,100,1024,768,seq,1,7,173.09749047619047,70.76339841269842,5.044579230769231
A,100,1024,768,seq,1,8,174.66635806451615,71.4355806451613,5.012231538461538
A,100,1024,768,seq,1,9,174.26249193548387,71.31176774193548,4.987491538461539
A,100,1024,768,seq,1,10,176.2748435483871,71.44957096774195,4.931536153846154
A,200,1024,768,seq,1,1,327.1549153846154,72.46139743589742,3.396915
A,200,1024,768,seq,1,2,331.3900789473684,73.44374736842106,3.2051308333333335
A,200,1024,768,seq,1,3,327.58134871794874,71.97661538461539,3.3634633333333332
A,200,1024,768,seq,1,4,325.81319487179485,71.88122564102564,3.397759166666667
A,200,1024,768,seq,1,5,327.3068717948718,71.70028205128206,3.301905833333333
A,200,1024,768,seq,1,6,329.5526487179487,71.76388205128205,3.3695775
A,200,1024,768,seq,1,7,323.9569487179487,71.47180256410257,3.41973
A,200,1024,768,seq,1,8,325.18611282051285,71.54142051282052,3.395591666666667
A,200,1024,768,seq,1,9,329.9176153846154,71.98459230769231,3.2413433333333335
A,200,1024,768,seq,1,10,328.5824153846154,72.59001794871794,3.1921075
